"id_trabajo","id_habilidad"
"AI00001",1
"AI00002",1
"AI00004",1
"AI00005",1
"AI00013",1
"AI00017",1
"AI00020",1
"AI00025",1
"AI00027",1
"AI00030",1
"AI00031",1
"AI00033",1
"AI00038",1
"AI00040",1
"AI00043",1
"AI00045",1
"AI00046",1
"AI00053",1
"AI00054",1
"AI00060",1
"AI00065",1
"AI00067",1
"AI00072",1
"AI00073",1
"AI00076",1
"AI00078",1
"AI00079",1
"AI00084",1
"AI00089",1
"AI00093",1
"AI00098",1
"AI00104",1
"AI00107",1
"AI00109",1
"AI00121",1
"AI00123",1
"AI00124",1
"AI00142",1
"AI00143",1
"AI00145",1
"AI00151",1
"AI00159",1
"AI00160",1
"AI00167",1
"AI00173",1
"AI00192",1
"AI00194",1
"AI00203",1
"AI00204",1
"AI00205",1
"AI00210",1
"AI00211",1
"AI00213",1
"AI00214",1
"AI00217",1
"AI00218",1
"AI00223",1
"AI00232",1
"AI00235",1
"AI00236",1
"AI00237",1
"AI00240",1
"AI00244",1
"AI00248",1
"AI00251",1
"AI00253",1
"AI00262",1
"AI00266",1
"AI00270",1
"AI00274",1
"AI00281",1
"AI00282",1
"AI00284",1
"AI00285",1
"AI00286",1
"AI00287",1
"AI00293",1
"AI00294",1
"AI00296",1
"AI00298",1
"AI00299",1
"AI00305",1
"AI00312",1
"AI00322",1
"AI00323",1
"AI00325",1
"AI00332",1
"AI00336",1
"AI00337",1
"AI00339",1
"AI00342",1
"AI00348",1
"AI00349",1
"AI00350",1
"AI00353",1
"AI00358",1
"AI00367",1
"AI00368",1
"AI00372",1
"AI00375",1
"AI00383",1
"AI00390",1
"AI00392",1
"AI00394",1
"AI00397",1
"AI00401",1
"AI00416",1
"AI00418",1
"AI00420",1
"AI00421",1
"AI00422",1
"AI00424",1
"AI00428",1
"AI00430",1
"AI00432",1
"AI00433",1
"AI00438",1
"AI00441",1
"AI00444",1
"AI00446",1
"AI00447",1
"AI00448",1
"AI00452",1
"AI00454",1
"AI00456",1
"AI00463",1
"AI00465",1
"AI00468",1
"AI00469",1
"AI00472",1
"AI00474",1
"AI00475",1
"AI00478",1
"AI00483",1
"AI00499",1
"AI00502",1
"AI00506",1
"AI00510",1
"AI00514",1
"AI00517",1
"AI00520",1
"AI00524",1
"AI00527",1
"AI00528",1
"AI00532",1
"AI00534",1
"AI00536",1
"AI00541",1
"AI00543",1
"AI00547",1
"AI00548",1
"AI00551",1
"AI00554",1
"AI00562",1
"AI00568",1
"AI00569",1
"AI00571",1
"AI00572",1
"AI00573",1
"AI00578",1
"AI00586",1
"AI00591",1
"AI00592",1
"AI00593",1
"AI00599",1
"AI00601",1
"AI00607",1
"AI00608",1
"AI00614",1
"AI00619",1
"AI00620",1
"AI00621",1
"AI00624",1
"AI00627",1
"AI00629",1
"AI00634",1
"AI00636",1
"AI00638",1
"AI00640",1
"AI00642",1
"AI00646",1
"AI00650",1
"AI00655",1
"AI00658",1
"AI00663",1
"AI00664",1
"AI00665",1
"AI00670",1
"AI00672",1
"AI00678",1
"AI00688",1
"AI00692",1
"AI00697",1
"AI00699",1
"AI00702",1
"AI00707",1
"AI00714",1
"AI00715",1
"AI00720",1
"AI00733",1
"AI00738",1
"AI00739",1
"AI00747",1
"AI00749",1
"AI00750",1
"AI00759",1
"AI00760",1
"AI00765",1
"AI00767",1
"AI00768",1
"AI00771",1
"AI00773",1
"AI00776",1
"AI00781",1
"AI00783",1
"AI00786",1
"AI00788",1
"AI00789",1
"AI00792",1
"AI00797",1
"AI00800",1
"AI00801",1
"AI00803",1
"AI00806",1
"AI00807",1
"AI00813",1
"AI00823",1
"AI00825",1
"AI00828",1
"AI00832",1
"AI00833",1
"AI00834",1
"AI00837",1
"AI00838",1
"AI00842",1
"AI00844",1
"AI00847",1
"AI00848",1
"AI00852",1
"AI00854",1
"AI00856",1
"AI00857",1
"AI00858",1
"AI00862",1
"AI00864",1
"AI00866",1
"AI00867",1
"AI00875",1
"AI00876",1
"AI00881",1
